Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-10 18:35:15,2022-05-10 18:35:16,1.177s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-10 18:35:16,2022-05-10 18:35:17,0.141s,PASSED
"navigateToUrl(""https://demo.midtrans.com/"")",Chrome 101.0.4951.54,,,2022-05-10 18:35:17,2022-05-10 18:35:17,0.444s,PASSED
"click(findTestObject(""3. Checkout/a_BUY NOW""))",Chrome 101.0.4951.54,,,2022-05-10 18:35:17,2022-05-10 18:35:18,0.555s,PASSED
"verifyElementVisibleInViewport(findTestObject(""3. Checkout/Verify_ShoppingCart""), 0)",Chrome 101.0.4951.54,,,2022-05-10 18:35:18,2022-05-10 18:35:18,0.629s,PASSED
"verifyElementText(findTestObject(""3. Checkout/Verify_TotalAmount""), ""20,000"")",Chrome 101.0.4951.54,,,2022-05-10 18:35:18,2022-05-10 18:35:19,0.314s,PASSED
"verifyElementText(findTestObject(""3. Checkout/Verify_CustomerDetail""), ""Customer Details"")",Chrome 101.0.4951.54,,,2022-05-10 18:35:19,2022-05-10 18:35:19,0.313s,PASSED
"setText(findTestObject(""3. Checkout/Field_Name""), Name)",Chrome 101.0.4951.54,,,2022-05-10 18:35:19,2022-05-10 18:35:19,0.684s,PASSED
"setText(findTestObject(""3. Checkout/Field_Email""), Email)",Chrome 101.0.4951.54,,,2022-05-10 18:35:19,2022-05-10 18:35:20,0.708s,PASSED
"setText(findTestObject(""3. Checkout/Field_Phone""), Phone)",Chrome 101.0.4951.54,,,2022-05-10 18:35:20,2022-05-10 18:35:21,0.696s,PASSED
"setText(findTestObject(""3. Checkout/Field_City""), City)",Chrome 101.0.4951.54,,,2022-05-10 18:35:21,2022-05-10 18:35:22,0.685s,PASSED
"setText(findTestObject(""3. Checkout/Field_Address""), Address)",Chrome 101.0.4951.54,,,2022-05-10 18:35:22,2022-05-10 18:35:22,0.697s,PASSED
"setText(findTestObject(""3. Checkout/Field_PostalCode""), PostalCode)",Chrome 101.0.4951.54,,,2022-05-10 18:35:22,2022-05-10 18:35:23,0.652s,PASSED
"click(findTestObject(""3. Checkout/Button_Checkout""))",Chrome 101.0.4951.54,,,2022-05-10 18:35:23,2022-05-10 18:35:23,0.352s,PASSED
delay(1),Chrome 101.0.4951.54,,,2022-05-10 18:35:23,2022-05-10 18:35:24,1.024s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 18:35:24,2022-05-10 18:35:25,0.747s,PASSED
"verifyElementVisible(findTestObject(""5. PopUp Detail/Time_PayWithin""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 18:35:25,2022-05-10 18:35:26,0.453s,PASSED
"verifyElementVisible(findTestObject(""5. PopUp Detail/Verify_OrderID_PopUp""))",Chrome 101.0.4951.54,,,2022-05-10 18:35:26,2022-05-10 18:35:26,0.426s,PASSED
"verifyElementVisible(findTestObject(""3. Checkout/Verify_MethodList""))",Chrome 101.0.4951.54,,,2022-05-10 18:35:26,2022-05-10 18:35:26,0.408s,PASSED
